Id,Nome,Stock,PrecoCompra,PrecoVenda,Id_fornecedor
1,"Farinha Trigo",20,0.30,0.60,3
2,"Farinha Mista",20,0.33,0.66,3
3,"Farinha Integral",20,0.35,0.70,3
4,Azeitonas,13,0.99,1.98,2
5,Fiambre,40,0.45,0.90,2
6,Queijo,50,0.39,0.78,2
7,Ananás,3,0.95,1.90,1
8,Tomate,10,0.40,0.80,1
9,Pimento,5,1.20,2.40,1
10,Cebola,6,0.74,1.48,1
11,Cogumelos,9,0.43,0.86,2
12,"Coca Cola",15,1.00,2.00,4
13,Água,15,0.70,1.40,5
14,"Água Pedras",10,0.90,1.80,5
15,Cerveja,8,1.20,2.40,4
16,"Ice Tea",12,1.00,2.00,4
17,Vinho,1,5.00,10.00,4
